QTY_UOM,Description,Title,Url,ImageURL,UPC,Length,MFGPart,TesscoSKU,InStock_OutOfStock,Manufacturer,Price,ListPrice,CategoryTopology
1 EACH,CommScope TNC Male Right Angle Captivated Crimp Connector for CNT-400 braided cable.,TNC Male Right Angle for CNT-400 braided cable,https://www.tessco.com/product/202236,https://avalanche.tessco.com/productimages/450x450/5073444%2Ejpg,646444781077,,400BPTR-C-CR,202236,Out of stock,CommScope, $13.31, $19.96,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >TNC Connectors >SKU #202236"
1000 FOOT,The Belden 8259 RG58A/U braided coax cable is available in a bulk 1000 foot spool. This 50 Ohm coaxial cable has a 20 gauge stranded center conductor and polyethylene insulation. The RG58 transmission line features a 95 percent tinned copper braided shield and black PVC jacket.,RG58A/U Black - 1000ft,https://www.tessco.com/product/95250,https://avalanche.tessco.com/productimages/450x450/85780%2Ejpg,612825197379,,8259-1000,95250,Out of stock,Belden, $288.76, $584.70,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-58 Cable >SKU #95250"
500 FOOT,"The Belden 9913F7 B59500 RG8/U high-flex black coaxial cable is designed for mobile applications. The PVC jacket with un-bounded aluminum tape allows for end stripping with automated cable prep tool. This 50 Ohm coax cable has a 100 percent coverage foil shield, stranded center conductor, and foam polyethylene dielectric.",Belden 9913 Flex RG8 Coax - 500ft,https://www.tessco.com/product/96201,https://avalanche.tessco.com/productimages/450x450/85363%2Ejpg,612825261742,,9913F7 B59500,96201,Out of stock,Belden, $442.53, $960.30,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-8 Cable >SKU #96201"
1 EACH,CommScope TNC Male Right Angle Captivated Crimp Connector for CNT-400 braided cable.,TNC Male Right Angle for CNT-400 braided cable,https://www.tessco.com/product/202236,https://avalanche.tessco.com/productimages/450x450/5073444%2Ejpg,646444781077,,400BPTR-C-CR,202236,Out of stock,CommScope, $13.31, $19.96,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >TNC Connectors >SKU #202236"
1000 FOOT,"BELDEN 8213 0101000 RG-11/U Coax 14 AWG solid .064"" bare copper conductor, gas-injected foam HDPE insulation, bare copper braid shield (95% coverage), polyethylene jacket.",RG11/U 75 Ohm Coax Cable,https://www.tessco.com/product/547533,https://avalanche.tessco.com/productimages/450x450/4778985%2Ejpg,646444481564,,8213 0101000,547533,Out of stock,Belden, $1, $1,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-8 Cable >SKU #547533"
1 EACH,CommScope TNC Male Right Angle Captivated Crimp Connector for CNT-400 braided cable.,TNC Male Right Angle for CNT-400 braided cable,https://www.tessco.com/product/202236,https://avalanche.tessco.com/productimages/450x450/5073444%2Ejpg,646444781077,,400BPTR-C-CR,202236,Out of stock,CommScope, $13.31, $19.96,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >TNC Connectors >SKU #202236"
1 EACH,"RF INDUSTRIES N female ""T"" adapter. Silver plated body, gold plated contacts. ","N Female ""T"" Adapter",https://www.tessco.com/product/97169,https://avalanche.tessco.com/productimages/450x450/87968%2Ejpg,RFN-1011-1,,RFN-1011-1,97169,Out of stock,RF Industries, $9.47, $18.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >Interseries Adapters >SKU #97169"
1 FOOT,"The Times Microwave LMR-400-LLPX plenum-rated low loss coaxial cable with Orange CATV-P rated jacket is an indoor, fire-retardant cable specifically designed for use in return air handling plenums. This 50 Ohm coax cable has a stranded outer conductor and bare copper center conductor. A 100 percent coverage foil, and 90 percent coverage braided shield prevents loss. It has a UL/NEC & CSA rating of 'CMP' and 'FT6' respectively. ","3/8"" LMR400 Plenum Cable",https://www.tessco.com/product/97134,https://avalanche.tessco.com/productimages/450x450/88008%2Ejpg,729198971342,,LMR-400-LLPL,97134,Out of stock,Times Microwave Systems, $5.03, $6.63,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #97134"
1 EACH,CommScope TNC Male Right Angle Captivated Crimp Connector for CNT-400 braided cable.,TNC Male Right Angle for CNT-400 braided cable,https://www.tessco.com/product/202236,https://avalanche.tessco.com/productimages/450x450/5073444%2Ejpg,646444781077,,400BPTR-C-CR,202236,Out of stock,CommScope, $13.31, $19.96,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >TNC Connectors >SKU #202236"
2000 FOOT,"Belden 8241 0102000 23 AWG RG-59 solid 0.23"" bare copper/bare copper-covered steel conductor, polyethylene insulation, bare copper braid shield (95% coverage), black PVC jacket. 2,000 ft crate reel put-up.","RG-59 23 AWG Copper Conductor Cable, 75 Ohm, PVC",https://www.tessco.com/product/547732,https://avalanche.tessco.com/productimages/450x450/4743759%2Ejpg,646444291651,,8241 0102000,547732,Out of stock,Belden, $902.54, $999.80,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >75 Ohm Braided Coax Cable >RG-59 Cable >SKU #547732"
1 EACH,"RF INDUSTRIES N female ""T"" adapter. Silver plated body, gold plated contacts. ","N Female ""T"" Adapter",https://www.tessco.com/product/97169,https://avalanche.tessco.com/productimages/450x450/87968%2Ejpg,RFN-1011-1,,RFN-1011-1,97169,Out of stock,RF Industries, $9.47, $18.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >Interseries Adapters >SKU #97169"
500 FOOT,"The Belden 9913F7 B59500 RG8/U high-flex black coaxial cable is designed for mobile applications. The PVC jacket with un-bounded aluminum tape allows for end stripping with automated cable prep tool. This 50 Ohm coax cable has a 100 percent coverage foil shield, stranded center conductor, and foam polyethylene dielectric.",Belden 9913 Flex RG8 Coax - 500ft,https://www.tessco.com/product/96201,https://avalanche.tessco.com/productimages/450x450/85363%2Ejpg,612825261742,,9913F7 B59500,96201,Out of stock,Belden, $442.53, $960.30,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-8 Cable >SKU #96201"
1000 FOOT,The Belden 8219 0091000 RG58/A/U coaxial cable (White) features a 95 percent braided shield to prevent RF loss. This 50 Ohm coax cable has a stranded center conductor. The RG58 cable also has a foam polyethylene dielectric. The black braided coax cable transmission line is MSHA approved.,RG58A/U Coaxial Cable - 1000ft White,https://www.tessco.com/product/547459,https://avalanche.tessco.com/productimages/450x450/4807343%2Ejpg,646444851602,,8219 0091000,547459,Out of stock,Belden, $363.44, $702.40,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-58 Cable >SKU #547459"
