QTY_UOM,Description,Title,Url,ImageURL,UPC,Length,MFGPart,TesscoSKU,InStock_OutOfStock,Manufacturer,Price,ListPrice,CategoryTopology
500 FOOT,The Belden 8219-500 RG58/A/U coaxial cable (black) features a 96 percent braided shield to prevent RF loss. This 50 Ohm coax cable has a stranded center conductor. The RG58 cable also has a foam polyethylene dielectric. The black braided RG58A/U coax cable transmission line is MSHA approved.,RG58A/U Coaxial Cable MSHA - 500 ft,https://www.tessco.com/product/67515,https://avalanche.tessco.com/productimages/450x450/62585%2Ejpg,612825196358,,8219-500,67515,InStock,Belden, $181.09, $351.20,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-58 Cable >SKU #67515"
500 FOOT,The Belden 8219-500 RG58/A/U coaxial cable (black) features a 96 percent braided shield to prevent RF loss. This 50 Ohm coax cable has a stranded center conductor. The RG58 cable also has a foam polyethylene dielectric. The black braided RG58A/U coax cable transmission line is MSHA approved.,RG58A/U Coaxial Cable MSHA - 500 ft,https://www.tessco.com/product/67515,https://avalanche.tessco.com/productimages/450x450/62585%2Ejpg,612825196358,,8219-500,67515,InStock,Belden, $181.09, $351.20,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-58 Cable >SKU #67515"
1 EACH,"COMMSCOPE CNT-400-150M CNT-400, CNT® 50 Ohm Braided Coaxial Cable, variable, black PE jacket, 150M","CNT-400, CNT® 50 Ohm Braided Coaxial Cable, 150M",https://www.tessco.com/product/265641,https://avalanche.tessco.com/productimages/450x450/5547101%2Ejpg,646444536769,,CNT-400-150M,265641,InStock,CommScope, $272.09, $453.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #265641"
1 EACH,"COMMSCOPE CNT-400-150M CNT-400, CNT® 50 Ohm Braided Coaxial Cable, variable, black PE jacket, 150M","CNT-400, CNT® 50 Ohm Braided Coaxial Cable, 150M",https://www.tessco.com/product/265641,https://avalanche.tessco.com/productimages/450x450/5547101%2Ejpg,646444536769,,CNT-400-150M,265641,InStock,CommScope, $272.09, $453.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #265641"
1000 FOOT,"BELDEN RG59/U Jan-C-17A Red coaxial cable. 73 ohm, solid center conductor. Polyethylene 95% shield coverage. 66% vel of prop. 10.9dB loss/100' @ 900 MHz.",RG59/U SPL MIL - 1000ft (red),https://www.tessco.com/product/432797,https://avalanche.tessco.com/productimages/450x450/247281%2Ejpg,612825358664,,8241 002U1000,432797,InStock,Belden, $451.24, $499.90,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >75 Ohm Braided Coax Cable >RG-59 Cable >SKU #432797"
1 EACH,"For wireless networking professionals, Ventev’s N Male/Plug for 195 Cable coaxial cable connectors offer the best value in the industry. Unlike other component suppliers, Ventev connectors offer an unsurpassed combination of performance and price delivering upon customer expectations across thousands of wireless installations. The Ventev Straight style connector is compatible w/ 195 series cables such as TWS-195/RG58/RG142",N Male/Plug for 195 Cable,https://www.tessco.com/product/430967,https://avalanche.tessco.com/productimages/450x450/270788%2Ejpg,646444309677,,CON-07-195,430967,InStock,Ventev / TerraWave, $3.32, $5.49,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >N Connectors >SKU #430967"
1000 FOOT,BELDEN RG6 75 ohm coaxial cable with messenger. 18 ga. solid center cond. with foil and braid shields. Sweep tested from 950-2250 MHz. 1000' spool.,18awg w/mess. Shielded RG6 Cable - 1000ft,https://www.tessco.com/product/430195,https://avalanche.tessco.com/productimages/450x450/135132%2Ejpg,612825124276,,1839A,430195,InStock,Belden, $186.26, $204.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >75 Ohm Braided Coax Cable >RG-6 Cable >SKU #430195"
1 FOOT,The Times Microwave LMR-500 1/2 inch superflex cable is superflexible because of its stranded outer conductor. This 50 Ohm coax cable has a copper-clad aluminum center conductor. The low loss coaxial cable transmission line has a UV-resistant Polyethylene jacket for outdoor use. Maximum frequency capacity is 12.6 GHz.,"LMR-500 1/2"" Flex Cable",https://www.tessco.com/product/48279,https://avalanche.tessco.com/productimages/450x450/37777%2Ejpg,729198482794,,LMR-500,48279,InStock,Times Microwave Systems, $1.48, $1.86,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >500 Series Cable >SKU #48279"
1000 FOOT,"The Belden 7733A RG8/U foam FEP dielectric cable is specifically designed for use in return air handling plenums. This indoor, fire-retardant 50 Ohm coax cable features a solid center conductor, duofoil, and 90 percent coverage tinned copper braid. ",Belden 7733A RG8/U Plenum Coax - 1000ft,https://www.tessco.com/product/48780,https://avalanche.tessco.com/productimages/450x450/39502%2Ejpg,729198487805,,7733A,48780,InStock,Belden, $3, $7,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-8 Cable >SKU #48780"
1 FOOT,"COMMSCOPE 1/4"" Superflexible High Power, high temperature 50Ohm plenum rated coaxial cable, corrugated copper, white FR-PVC jacket.","PTS1-50 1/4"" Superflex High Pwr/Temp Plenum Cable",https://www.tessco.com/product/501187,https://avalanche.tessco.com/productimages/450x450/3325702%2Ejpg,729198384548,,PTS1-50-P,501187,InStock,CommScope, $3.05, $4.87,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Foam Coaxial Cable >1/4"" Foam Cable >SKU #501187"
